deltaT          EnergySlope     SlopeStderr     EnergyStdDev    EnergyMinMax
1.00E-01        6.52E-05        1.11E-03        1.01E+00        3.63E+00
1.00E-02        1.32E-04        1.09E-03        9.98E-01        3.58E+00
1.00E-03        1.28E-04        1.09E-03        9.98E-01        3.58E+00
1.00E-04        1.27E-04        1.09E-03        9.98E-01        3.58E+00
1.00E-05        1.27E-04        1.09E-03        9.98E-01        3.58E+00
1.00E-06        0.00E+00        0.00E+00        0.00E+00        0.00E+00
